Feature,Missing Rate,PreM,PostM,P Value
Age (years),0.00%,41.00 ± 7.34,57.70 ± 6.78,<0.01
Height (m),0.00%,1.60 ± 0.05,1.58 ± 0.05,<0.01
Weight (kg),0.00%,59.37 ± 9.01,59.84 ± 8.48,0.6925
FSH (mIU/mL),0.00%,8.73 ± 8.13,61.20 ± 28.36,<0.01
LH (mIU/mL),0.00%,8.21 ± 9.64,29.44 ± 15.08,<0.01
P (ng/mL),0.00%,2.31 ± 4.06,0.30 ± 0.27,<0.01
E2 (pg/mL),0.00%,110.02 ± 105.11,12.79 ± 14.90,<0.01
Prolactin (ng/mL),0.00%,13.80 ± 9.21,9.42 ± 7.20,<0.01
Testosterone (ng/mL),0.00%,0.34 ± 0.24,0.24 ± 0.19,<0.01
AMH (ng/mL),63.38%,1.56 ± 1.42,0.01 ± 0.01,<0.01
BMI (kg/m²),0.00%,23.21 ± 3.30,24.04 ± 2.95,0.0530
OA,7.39%,-,-,<0.01
EA,15.85%,-,-,<0.01
UA,8.45%,-,-,<0.01
